ticker,name,type,sector,valuation_sector,data_tier,price,intrinsic,mos,verdict,confidence,composite,reliable,roe,pe,pb,implied_pe,analyst_upside,abstain_cause,red_flags,alt_model
NATCOPHARM,NATCO Pharma Ltd.,nonfinancial,Healthcare,PHARMA,full,947.1,1868.04841505668,0.972387725748791,BUY,high,84.01337568992324,True,0.14877834531671927,11.956973540345507,1.7789387383283992,23.6,0.044240312532995436,,,False
GODFRYPHLP,Godfrey Phillips India Ltd.,nonfinancial,Fast Moving Consumer Goods,CONSUMER,full,2113.5,4160.516194567794,0.9685432668880027,BUY,high,85.36847362206697,True,0.19995364140337776,21.60799388182257,4.3205970600923305,42.5,,,,False
AWL,AWL Agri Business Ltd.,nonfinancial,Fast Moving Consumer Goods,CONSUMER,full,188.76,360.91354278931385,0.9120234307550004,BUY,high,68.11594284126951,True,0.09486318951183445,23.449204797867612,2.224466358641933,44.8,0.7376562831108286,,,False
KKCL,Kewal Kiran Clothing,nonfinancial,Apparel/Accessories,CONSUMER_DISC,full,495.0,934.3641383338686,0.8876043198664012,BUY,medium,69.78709779716887,True,0.1622920596353251,21.484995731827436,3.4868442085744427,40.6,0.3696969696969697,,,False
GENUSPOWER,Genus Power Infrastructures,nonfinancial,Electronic Instr. & Controls,MANUFACTURING,full,317.6,590.2122622908149,0.858350951797276,BUY,medium,70.58204381789517,True,0.25475280027416536,14.92008850340738,3.800934326581411,27.7,0.40113350125944575,,,False
COALINDIA,Coal India Ltd.,nonfinancial,Oil Gas & Consumable Fuels,ENERGY,full,427.65,784.9363356588551,0.8354643649219108,BUY,high,87.69720983035744,True,0.26087466864413866,8.475074733075468,2.210932312725375,15.6,0.08967613702794347,,,False
KPITTECH,KPIT Technologies Ltd.,nonfinancial,Information Technology,IT_SERVICES,full,553.9,980.8888818045492,0.7708772013080868,BUY,high,78.837826185558,True,0.18000175096232326,23.794314134647063,4.283018207184029,42.1,0.46235782632244093,,,False
BLS,BLS International Services Ltd.,nonfinancial,Consumer Services,CONSUMER,full,234.4,413.76146720897964,0.7651939727345547,BUY,high,82.68456608468307,True,0.2938143911409156,14.08731693838077,4.139056449059453,24.9,0.4078498293515358,,,False
SAMHI,Samhi Hotels,nonfinancial,Hotels & Motels,CONSUMER_DISC,full,165.1,287.9994964372426,0.7443942849015301,BUY,medium,69.58765161792925,True,0.2621231979030144,6.410613636363636,1.6803705468843084,11.2,0.8291944276196246,,,False
CESC,CESC Ltd.,nonfinancial,Power,UTILITIES,full,165.1,287.7305021345695,0.7427650038435465,BUY,high,69.0107859469447,True,0.12913008778930565,14.195742892459826,1.8330975259377496,24.7,0.29618413082980016,,,False
INFY,Infosys Ltd.,nonfinancial,Information Technology,IT_SERVICES,full,1096.5,1801.6829799560028,0.6431217327460126,BUY,high,83.0768674155663,True,0.3174298884245897,15.346312512723078,4.871378268642571,25.2,0.2603739170086639,,,False
WEBELSOLAR,Websol Energy System,nonfinancial,Semiconductors,MANUFACTURING,full,104.29,168.83330416239843,0.6188829625313877,BUY,medium,72.81450833386174,True,0.48041858252735054,14.941349504950496,7.178101950214047,24.2,,,,False
SONATSOFTW,Sonata Software Ltd.,nonfinancial,Information Technology,IT_SERVICES,full,307.45,477.69260861552135,0.5537245360726016,BUY,high,73.14024437555425,True,0.24382163464819936,18.36530287043218,4.477858166678042,28.5,0.06358757521548224,,,False
