ticker,verdict,mos,intrinsic,price,method,conf,wacc,ke,tv_share,dispersion_maxmin,sens_swing,model_g1,reverse_g1,fade_years,terminal_g,reinvest,margin
RELIANCE,HOLD,0.16620372855090215,1547.7855885327574,1327.2,Sum-of-the-Parts,medium,0.086392094,0.1043,0.872,7.33,0.899,0.08,0.1618,8,0.04,0.75,0.1145
SAMHI,BUY,0.7443942849015301,287.9994964372426,165.1,FCFF DCF,medium,0.1076761908,0.12335,0.828,7.64,0.98,0.18,0.1734,8,0.055,0.65,0.2775
SBFC,AVOID,-0.6213887925662172,35.59702572292426,94.02,Residual Income,high,,0.1105,0.694,2.85,0.671,0.1,,8,0.055,0.35,0.12
SBILIFE,HOLD,-0.07188149119930032,1697.9,1829.4,EV + VNB Appraisal,medium,,0.10405,0.683,1.11,1.23,0.1,,12,0.055,0.35,0.12
SBIN,ACCUMULATE,0.68349698865689,1758.0759052543901,1044.3,Residual Income,high,,0.1031,0.69,4.72,1.289,0.1,,12,0.055,0.35,0.12
SHAREINDIA,LOW CONF,0.33919351664240555,237.35865888969997,177.24,FCFF DCF,medium,0.116927773,0.12365,0.389,4.2,0.201,0.08,0.0091,15,0.055,0.16,0.3461
SHOPERSTOP,LOW CONF,-0.16157144366821685,327.5321155310111,390.65,FCFF DCF,medium,0.08499999999999999,0.11315,0.901,2.26,0.852,0.1546,0.2183,8,0.055,0.65,0.0464
SIS,HOLD,0.46507535902925146,630.1289119184811,430.1,FCFF DCF,medium,0.08,0.10344999999999999,0.93,12.2,0.542,0.1539,0.1037,8,0.05,0.75,0.02
SMLMAH,LOW CONF,-0.4777770359430047,2133.3852527656372,4085.2,FCFF DCF,medium,0.10145408640000003,0.13290000000000002,0.832,5.86,0.908,0.12,0.2878,10,0.05,0.75,0.0776
SONATSOFTW,BUY,0.5537245360726016,477.69260861552135,307.45,FCFF DCF,high,0.1079336736,0.13205,0.578,5.69,0.794,0.1346,0.1044,15,0.055,0.2692,0.0541
SUNPHARMA,AVOID,-0.2997781696844635,1353.2487092678057,1932.6,FCFF DCF,high,0.09471079499999999,0.09465,0.571,3.46,0.765,0.11,0.1718,15,0.05,0.2311,0.2103
TATACOMM,LOW CONF,-0.48329289566245437,938.9084792917541,1817.1,FCFF DCF,high,0.08,0.10885,0.851,6.16,0.566,0.093,0.1527,10,0.05,0.6348,0.0819
TATASTEEL,AVOID,-0.45395933711246267,101.50349882416431,185.89,FCFF DCF,high,0.07973216345600001,0.11385,0.708,4.31,0.867,0.02,0.0688,8,0.04,0.2419,0.0899
TCS,BUY,0.45964158064104527,3311.9267464745317,2269.0,FCFF DCF,high,0.1029337436,0.10435,0.53,4.13,0.852,0.08,0.0569,15,0.055,0.16,0.2423
THYROCARE,LOW CONF,-0.4739895836644176,272.07888784958,517.25,FCFF DCF,medium,0.097895991,0.09885,0.575,3.3,0.845,0.1302,0.2368,15,0.05,0.2604,0.1967
TITAN,LOW CONF,-0.47731027237539764,2424.2872256956684,4638.1,FCFF DCF,high,0.08499999999999999,0.10085,0.906,5.2,0.293,0.18,0.3476,8,0.055,0.65,0.0851
TMPV,LOW CONF,2.7027118299443864,1242.6300901293362,335.6,FCFF DCF,medium,0.0893961678,0.11735,0.558,1.22,0.581,0.08,-0.0495,15,0.05,0.2836,0.0698
TSFINV,LOW CONF,1.3124563371272904,1087.7794609846774,470.4,FCFF DCF,medium,0.13383389905200002,0.13655,0.45,8.07,0.494,0.18,0.0568,15,0.055,0.36,0.45
UNIONBANK,LOW CONF,1.0121754156943379,339.59484490673344,168.77,Residual Income,high,,0.1118,0.674,4.26,0.884,0.1,,10,0.055,0.35,0.12
VARROC,AVOID,-0.6088255924340243,253.55925098426542,648.2,FCFF DCF,medium,0.11724152999999998,0.13574999999999998,0.706,10.48,0.623,0.1035,0.3301,10,0.05,0.6468,0.0518
VEDL,REDUCE,-0.15097640562299186,218.96318498983038,257.9,Sum-of-the-Parts,medium,0.091734837,0.11864999999999999,0.612,8.0,0.496,0.02,0.1127,8,0.04,0.1402,0.2231
VTL,AVOID,-0.6158710088434085,242.9807933561019,632.55,FCFF DCF,high,0.105439834,0.1132,0.572,4.09,0.416,0.02,0.2437,8,0.04,0.2698,0.0886
WEBELSOLAR,BUY,0.6188829625313877,168.83330416239843,104.29,FCFF DCF,medium,0.11813802412400001,0.12290000000000001,0.535,4.35,0.535,0.18,0.128,15,0.05,0.4532,0.3484
WEWORK,ACCUMULATE,0.4857261836148823,1007.2480661817095,677.95,FCFF DCF,medium,0.11428959999999999,0.12969999999999998,0.642,15.01,0.42,0.18,0.1271,15,0.05,0.65,0.45
WIPRO,BUY,0.51603813001542,266.8227108827139,176.0,FCFF DCF,high,0.10175614000000001,0.1043,0.689,5.21,0.71,0.0401,0.0175,8,0.055,0.1336,0.1633
WSTCSTPAPR,HOLD,0.2236975924644782,634.5483865724551,518.55,FCFF DCF,medium,0.1214037538,0.12445,0.581,9.66,0.238,0.0582,-0.0249,8,0.045,0.426,0.1309
ZENSARTECH,BUY,0.3195680664330415,686.8351785783981,520.5,FCFF DCF,high,0.11371838799999999,0.1141,0.675,5.47,0.61,0.0763,0.1113,8,0.055,0.2544,0.1425
